   10      30
    7       8      14
    2       4       7
   10       9      11
    8       4       6
    3       7      11
    7       4      17
    2       5       5
   10      10      16
    8       4       9
    8       6      10
    4       5       5
   10       4      10
    5       4      13
    8       1       1
    8       2       4
   10       2      17
    5       4      14
    6       7      15
    4       2      18
    9       8      17
   10       4       8
    5       2      18
    8      10      13
    8       6       7
    7       2      12
    5       6       1
    3       4      14
   10       2       9
    7       6       8
    3       3      13
